"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test SNS client is properly initialized with correct region","1","test_sns_initialization","tests","Tue Sep 30 06:06:45 UTC 2025","passed","Tue Sep 30 06:06:45 UTC 2025","TestSNSNotifier","test_sns_notifier","",""
"Test /reminders/run endpoint when no cards are due","50","test_reminders_run_no_cards","tests","Tue Sep 30 06:06:45 UTC 2025","passed","Tue Sep 30 06:06:45 UTC 2025","TestRemindersRunEndpoint","test_reminders_run_endpoint","",""
"Test /reminders/run endpoint when manual check succeeds","4","test_reminders_run_success","tests","Tue Sep 30 06:06:45 UTC 2025","passed","Tue Sep 30 06:06:45 UTC 2025","TestRemindersRunEndpoint","test_reminders_run_endpoint","",""
"Builds Docker image and deploys to EC2 instance","30000","Build & Deploy to EC2","","Tue Sep 30 06:08:41 UTC 2025","passed","Tue Sep 30 06:09:11 UTC 2025","","CI/CD Pipeline Jobs","",""
"Test behavior with no cards to notify about","0","test_send_notification_empty_cards","tests","Tue Sep 30 06:06:45 UTC 2025","passed","Tue Sep 30 06:06:45 UTC 2025","TestSNSNotifier","test_sns_notifier","",""
"Runs unit tests, code linting, and coverage analysis","30000","Unit Tests & Code Quality","","Tue Sep 30 06:08:41 UTC 2025","passed","Tue Sep 30 06:09:11 UTC 2025","","CI/CD Pipeline Jobs","",""
"Load testing and response time validation","30000","Performance & Load Tests","","Tue Sep 30 06:08:41 UTC 2025","passed","Tue Sep 30 06:09:11 UTC 2025","","CI/CD Pipeline Jobs","",""
"Test successful notification sending","1","test_send_notification_success","tests","Tue Sep 30 06:06:45 UTC 2025","passed","Tue Sep 30 06:06:45 UTC 2025","TestSNSNotifier","test_sns_notifier","",""
"Test status endpoint returns healthy when all systems are working","11","test_status_healthy","tests","Tue Sep 30 06:06:45 UTC 2025","passed","Tue Sep 30 06:06:45 UTC 2025","TestStatusEndpoint","test_status_endpoint","",""
"Test /test/sns endpoint when SNS test notification succeeds","3","test_sns_test_success","tests","Tue Sep 30 06:06:45 UTC 2025","passed","Tue Sep 30 06:06:45 UTC 2025","TestSNSEndpoint","test_sns_endpoint","",""
"Test status endpoint returns degraded when SNS is not working","75","test_status_degraded","tests","Tue Sep 30 06:06:45 UTC 2025","passed","Tue Sep 30 06:06:45 UTC 2025","TestStatusEndpoint","test_status_endpoint","",""
"Security vulnerability scanning and analysis","30000","Security Tests","","Tue Sep 30 06:08:41 UTC 2025","passed","Tue Sep 30 06:09:11 UTC 2025","","CI/CD Pipeline Jobs","",""
"Tests live API endpoints on deployed service","30000","API Integration Tests","","Tue Sep 30 06:08:41 UTC 2025","passed","Tue Sep 30 06:09:11 UTC 2025","","CI/CD Pipeline Jobs","",""
"Test /test/sns endpoint when SNS test notification fails","4","test_sns_test_failure","tests","Tue Sep 30 06:06:45 UTC 2025","passed","Tue Sep 30 06:06:45 UTC 2025","TestSNSEndpoint","test_sns_endpoint","",""
